"ID" "Sex" "BleedTime" "Age" "Weight" "rawDOB" "timeDOB" "normBleed" "residNormBleed"
"58" 20348 "F" 1.8 553 14.8 "2015-02-10" 49 -0.177721033973639 -0.475723114122927
"59" 20308 "F" 4.8 596 13 "2014-12-29" 47 1.21548449150377 0.876096143119538
"60" 20347 "F" 4.5 553 12.6 "2015-02-10" 49 1.17675148860517 0.878749408455881
"61" 20351 "F" 1.5 553 13.2 "2015-02-10" 49 -0.446949062026105 -0.744951142175393
"62" 19998 "F" 2.8 866 25 "2014-04-03" 39 0.633436918311946 0.124940443358724
"63" 20036 "M" 5 817 21.7 "2014-05-22" 40 1.24921375660039 0.593789235185179
"64" 20732 "F" 7.8 475 23.3 "2015-10-24" 57 1.53029152799957 1.39441689792121
"65" 20704 "F" 1.8 500 18.7 "2015-09-29" 56 -0.177721033973639 -0.334416050084804
"66" 20696 "F" 6 500 18.3 "2015-09-29" 56 1.38436457152009 1.22766955540892
"67" 20713 "F" 3.3 493 22.7 "2015-10-06" 57 0.881894700545162 0.745365632045104
"68" 20483 "M" 3 640 22.6 "2015-05-12" 52 0.758147443144371 0.348095558241195
"69" 20501 "M" 5.3 633 23.3 "2015-05-19" 52 1.28442742168185 0.874630040609334
"70" 20495 "M" 1.8 634 21.6 "2015-05-18" 52 -0.177721033973639 -0.587554772736251
"71" 20613 "M" 3.5 568 22 "2015-07-23" 54 0.954065718000542 0.586454474345037
"72" 20693 "F" 2.3 557 23 "2015-10-05" 57 0.408891009167623 0.270035048501543
"73" 20733 "F" 2.5 538 25 "2015-10-24" 57 0.517891453898414 0.379726289344122
"74" 20695 "F" 1.2 563 21 "2015-09-29" 56 -0.758147443144371 -0.917132993731464
"75" 20688 "F" 2 565 18 "2015-09-27" 56 0.10436893498713 -0.0546893309801512
"76" 20694 "F" 10 564 21 "2015-09-28" 56 2.37325174127654 2.21422983299935
"77" 20702 "F" 2 563 19 "2015-09-29" 56 0.10436893498713 -0.054616615599963
"78" 20712 "F" 2 556 17 "2015-10-06" 57 0.10436893498713 -0.0344506679888564
"79" 20808 "F" 1.2 468 19 "2016-01-02" 60 -0.758147443144371 -0.834033238050733
